City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Boyolangu,ID,76.5,broken clouds,-8.12,111.89,Yos ega cv
462,Carutapera,BR,79.57,moderate rain,-1.2,-46.02,Lidera
463,Save,BJ,81.95,broken clouds,8.04,2.49,Mission Ahmadiyya Savè
464,Harlingen,US,87.8,broken clouds,26.19,-97.7,Courtyard by Marriott Harlingen
467,Sarangani,PH,83.77,overcast clouds,5.4,125.46,Ballistic Islet
468,Trairi,BR,81.36,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
471,Manokwari,ID,80.15,light rain,-0.87,134.08,Swiss Belhotel Manokwari
472,Isangel,VU,76.1,clear sky,-19.55,169.27,Volcano Sea View Tree House
475,Nhulunbuy,AU,78.8,clear sky,-12.23,136.77,East Arnhem Real Estate
480,Diego De Almagro,CL,77.13,clear sky,-26.37,-70.05,hotel luna del desierto
481,Tambopata,PE,91.4,light rain,-12.73,-69.18,
483,Reo,BF,77.14,clear sky,12.32,-2.47,Hôtel Deogratias
484,Saint-Leu,RE,75.2,overcast clouds,-21.15,55.28,La Caz Oceane
490,Hervey Bay,AU,75.0,few clouds,-25.3,152.85,Shelly Bay Resort
493,Kavaratti,IN,81.37,light rain,10.57,72.64,Hotels in Lakshadweep Islands
494,Kota Belud,MY,77.0,few clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
495,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama
496,Kota Bahru,MY,80.6,scattered clouds,6.13,102.24,Grand Riverview Hotel
497,Concordia,AR,91.4,few clouds,-31.39,-58.02,Palmar Hotel Casino
500,Inhambane,MZ,76.21,broken clouds,-23.86,35.38,Oceano
502,Rafaela,AR,90.0,few clouds,-31.25,-61.49,Parra Hotel & Suites
503,Port Harcourt,NG,78.03,clear sky,4.78,7.01,The Riviera Homes Golf Resort
504,Jaru,BR,75.67,overcast clouds,-10.44,-62.47,Hotel Paraná
508,Lorengau,PG,81.63,light rain,-2.02,147.27,Lorengau Harbourside Hotel
513,Lamu,KE,82.4,few clouds,-2.27,40.9,Lamu House
520,Mitu,CO,82.22,overcast clouds,1.2,-70.17,
521,Merauke,ID,78.04,overcast clouds,-8.47,140.33,
522,Bowen,AU,75.2,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
523,Caravelas,BR,75.09,clear sky,-17.71,-39.25,Pousada dos Navegantes
527,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
528,Kloulklubed,PW,75.2,scattered clouds,7.04,134.26,Storyboard Beach Resort
529,Ngerengere,TZ,77.0,few clouds,-6.75,38.12,
535,Sambava,MG,76.44,light rain,-14.27,50.17,Melrose
542,Pala,TD,75.99,clear sky,9.36,14.9,Hotel Pala Palace
546,Bathsheba,BB,78.8,broken clouds,13.22,-59.52,Atlantis Hotel
552,Brasilia,BR,82.4,scattered clouds,-15.78,-47.93,Grand Mercure Brasilia Eixo Monumental
555,Santa Cruz,BO,80.6,broken clouds,-17.8,-63.17,Hotel Cortez
563,Alice Springs,AU,84.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
567,Tambura,SS,77.34,clear sky,5.6,27.47,Guest hous Tambura
572,Terra Rica,BR,78.31,overcast clouds,-22.71,-52.62,Victor Hotel
576,Rawson,AR,78.01,overcast clouds,-43.3,-65.1,Hotel Punta León
577,Gorontalo,ID,76.23,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
579,Nioro,GM,76.3,clear sky,13.35,-15.75,
591,Tiarei,PF,86.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
