,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Cap Malheureux,MU,-19.98,57.61,72.0,81,4,5.01,moderate rain
258,Yerbogachen,RU,61.28,108.01,-9.33,90,77,2.84,broken clouds
259,Biak,ID,-0.91,122.88,78.22,79,100,2.39,overcast clouds
260,Juruti,BR,-2.15,-56.09,86.25,58,100,5.7,overcast clouds
261,Leninskoye,KZ,41.76,69.39,42.8,70,20,11.41,moderate rain
262,Brenham,US,30.17,-96.4,73.4,88,90,5.82,overcast clouds
263,Necochea,AR,-38.55,-58.74,87.01,39,0,17.67,clear sky
264,Sharjah,AE,25.36,55.4,75.2,53,0,5.82,clear sky
265,Charters Towers,AU,-20.1,146.27,72.03,74,34,11.34,scattered clouds
266,Scarborough,GB,54.28,-0.4,39.99,81,47,1.88,scattered clouds
267,Urumqi,CN,43.8,87.6,19.4,92,50,2.24,mist
268,Haines Junction,CA,60.75,-137.51,8.6,84,100,2.24,overcast clouds
269,Xichang,CN,27.9,102.26,45.7,73,89,1.57,overcast clouds
270,Beringovskiy,RU,63.05,179.32,16.39,93,97,12.97,overcast clouds
271,Tondano,ID,1.3,124.91,68.74,99,50,1.97,scattered clouds
272,Gaziantep,TR,37.06,37.38,42.8,70,20,4.7,few clouds
273,Kargat,RU,55.2,80.28,2.55,94,67,5.61,broken clouds
274,Bonfim,BR,3.08,-59.95,87.93,58,71,4.9,broken clouds
275,Gamba,GA,-2.65,10.0,76.77,91,100,5.93,overcast clouds
276,Ozernovskiy,RU,51.5,156.52,28.87,89,100,23.67,light snow
277,Poronaysk,RU,49.22,143.12,15.98,91,6,4.88,clear sky
278,Tougan,BF,13.07,-3.07,76.12,19,21,3.33,few clouds
279,Guerrero Negro,MX,27.98,-114.06,71.62,36,75,6.96,broken clouds
280,Gahanna,US,40.02,-82.88,52.0,62,75,8.05,broken clouds
281,Chancay,PE,-11.57,-77.27,72.0,72,75,13.87,broken clouds
282,Krasnoselkup,RU,65.7,82.47,2.21,93,100,7.99,overcast clouds
283,Boca Do Acre,BR,-8.75,-67.4,90.09,52,100,0.85,overcast clouds
284,Viedma,AR,-40.81,-63.0,93.99,17,0,8.01,clear sky
285,San Carlos De Bariloche,AR,-41.15,-71.31,59.0,58,75,24.16,light rain
286,Skjervoy,NO,70.03,20.97,42.8,70,20,10.29,few clouds
287,Maniitsoq,GL,65.42,-52.9,23.47,93,100,16.08,overcast clouds
288,San Andres,CO,12.58,-81.7,87.8,70,75,16.11,broken clouds
289,Maldonado,UY,-34.67,-54.92,81.0,39,0,6.93,clear sky
290,Omsukchan,RU,62.53,155.8,-6.97,87,100,6.13,overcast clouds
291,Le Vauclin,MQ,14.55,-60.84,82.4,69,20,9.17,few clouds
292,Selje,NO,62.05,5.35,42.01,87,100,6.6,overcast clouds
293,Rio Cuarto,AR,-33.13,-64.35,78.8,61,40,23.04,scattered clouds
294,Terrace,CA,54.52,-128.6,33.8,86,90,12.75,light snow
295,Airai,TL,-8.93,125.41,61.83,90,95,1.52,overcast clouds
296,Port Elizabeth,ZA,-33.92,25.57,64.4,77,96,18.34,overcast clouds
297,Palkino,RU,57.54,28.01,33.8,96,75,6.71,light rain
298,Konevo,RU,62.12,39.32,24.19,96,100,6.89,overcast clouds
299,Yilan,TW,24.76,121.75,69.8,77,75,8.05,light intensity drizzle
300,Mitsamiouli,KM,-11.38,43.28,80.98,78,0,9.31,clear sky
301,Pokhara,NP,28.23,83.98,57.02,33,0,4.07,clear sky
302,Sao Felix Do Xingu,BR,-6.64,-51.99,79.97,78,36,4.38,moderate rain
303,La Grande,US,45.32,-118.09,42.01,64,1,18.34,clear sky
304,Williams Lake,CA,52.14,-122.14,39.2,69,75,20.8,broken clouds
305,Bambous Virieux,MU,-20.34,57.76,73.4,88,75,5.82,shower rain
306,Teotitlan,MX,18.13,-97.08,82.47,31,0,4.21,clear sky
307,Soligalich,RU,59.08,42.29,24.42,96,100,10.07,overcast clouds
308,General Roca,AR,-39.03,-67.58,91.4,16,0,12.75,clear sky
309,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,65,0,20.8,clear sky
310,Escarcega,MX,18.61,-90.75,87.42,49,35,2.84,scattered clouds
311,Clyde River,CA,70.47,-68.59,-9.4,63,75,5.82,broken clouds
312,Japura,ID,-0.32,102.35,73.67,97,100,2.26,overcast clouds
313,Grindavik,IS,63.84,-22.43,32.0,79,75,36.91,broken clouds
314,Dickinson,US,29.46,-95.05,72.0,78,90,8.05,moderate rain
315,Hambantota,LK,6.12,81.12,76.93,86,90,6.15,overcast clouds
316,Albanel,CA,48.88,-72.45,37.4,86,100,4.7,overcast clouds
317,Broken Hill,AU,-31.95,141.43,86.0,20,0,10.29,clear sky
318,Chapais,CA,49.78,-74.85,32.0,96,90,6.93,overcast clouds
319,Half Moon Bay,US,37.46,-122.43,64.4,22,1,9.17,clear sky
320,Sfantu Gheorghe,RO,45.87,25.78,30.0,85,100,1.01,overcast clouds
321,Fomboni,KM,-12.28,43.74,81.88,75,0,5.97,clear sky
322,Tura,IN,25.52,90.22,62.71,56,98,3.6,overcast clouds
323,Paita,PE,-5.09,-81.11,68.76,72,88,15.46,overcast clouds
324,Muroto,JP,33.28,134.15,55.78,59,32,21.36,scattered clouds
325,Tulua,CO,4.08,-76.2,78.8,65,40,4.7,thunderstorm
326,Tacna,PE,-18.01,-70.25,69.8,68,0,10.29,clear sky
327,Belen,TR,36.49,36.22,48.2,70,75,8.05,broken clouds
328,Altea,ES,38.6,-0.05,55.0,99,100,8.9,overcast clouds
329,Alofi,NU,-19.06,-169.92,82.4,88,75,8.05,broken clouds
330,Pozo Colorado,PY,-23.49,-58.8,92.32,49,56,4.79,broken clouds
331,Chokurdakh,RU,70.63,147.92,-7.87,92,100,3.71,overcast clouds
332,Port Macquarie,AU,-31.43,152.92,75.0,77,23,10.74,few clouds
333,Umm Kaddadah,SD,13.6,26.69,71.22,26,22,17.18,few clouds
334,La Paz,BO,-16.5,-68.15,64.4,27,75,13.87,broken clouds
335,Bakchar,RU,57.02,82.07,4.89,95,29,3.38,scattered clouds
336,Bandarbeyla,SO,9.49,50.81,75.63,76,3,16.17,clear sky
337,Asfi,MA,32.3,-9.24,59.43,78,61,15.5,broken clouds
338,Te Anau,NZ,-45.42,167.72,50.11,54,100,1.52,overcast clouds
339,Pangody,RU,65.85,74.49,1.6,94,97,7.99,overcast clouds
340,Arlit,NE,18.74,7.39,79.03,20,0,6.96,clear sky
341,Rakiv Lis,UA,51.62,24.92,38.34,84,98,8.97,overcast clouds
342,Souillac,MU,-20.52,57.52,73.4,88,75,5.82,shower rain
343,Kaeo,NZ,-35.1,173.78,64.99,56,0,5.99,clear sky
344,Tam Ky,VN,15.57,108.48,75.2,88,40,9.17,light rain
345,Sioux Lookout,CA,50.1,-91.92,19.4,73,75,10.29,broken clouds
346,Vestmannaeyjar,IS,63.44,-20.27,39.07,70,91,31.61,overcast clouds
347,Parati,BR,-23.22,-44.71,84.2,35,40,5.82,scattered clouds
348,Yeppoon,AU,-23.13,150.73,73.4,64,100,8.05,overcast clouds
349,Evensk,RU,61.95,159.23,9.37,90,100,8.46,overcast clouds
350,Cabo San Lucas,MX,22.89,-109.91,82.99,57,20,13.87,few clouds
351,Tarauaca,BR,-8.16,-70.77,84.16,78,84,2.13,light rain
352,Koslan,RU,63.46,48.9,14.16,96,63,5.55,broken clouds
353,Puerto Del Rosario,ES,28.5,-13.86,68.0,60,20,17.22,few clouds
354,Hovd,MN,48.01,91.64,10.92,92,10,0.18,clear sky
